nb-points,sum-abs
318,1.2734651372496890e+00
319,1.2456987403645896e+00
320,1.2223157030500158e+00
321,1.2421039216737229e+00
322,1.2554175699789702e+00
323,1.2368763278757640e+00
324,1.2240494549247247e+00
325,1.2917852399981293e+00
326,1.2043989043031467e+00
327,1.2475241191414490e+00
328,1.3208805443458087e+00
329,1.2514495185415369e+00
330,1.1899663197102890e+00
331,1.3438966252891620e+00
332,1.2779882986283224e+00
333,1.2425931506028163e+00
334,1.2871260516589285e+00
335,1.2450931904018656e+00
336,1.1702801064701165e+00
337,1.2663342385878278e+00
338,1.2623032828796026e+00
339,1.2582555649785743e+00
340,1.3099061708658952e+00
341,1.3451975829670308e+00
342,1.2148427249399938e+00
343,1.2802690153844849e+00
344,1.2900700275119490e+00
345,1.3110083513608861e+00
346,1.3480689386467126e+00
347,1.3661808079506685e+00
348,1.2660034556393940e+00
349,1.2682573489889601e+00
350,1.2365712728668852e+00
351,1.2654557351492046e+00
352,1.3397542104071469e+00
353,1.4496377064773240e+00
354,1.3467610349653518e+00
355,1.3379828692771059e+00
356,1.2784800405518288e+00
357,1.2273079639998941e+00
358,1.2897681888521892e+00
359,1.3842508112233867e+00
360,1.3376790375872278e+00
361,1.3775145182315864e+00
362,1.2589436265764400e+00
363,1.1563158519922734e+00
364,1.2207290389066694e+00
365,1.3513626485404611e+00
366,1.3368721846663216e+00
367,1.4236871406176099e+00
368,1.3416801211331537e+00
369,1.3228751904302698e+00
370,1.2646452719898413e+00
371,1.3214633808468330e+00
372,1.3631670244324285e+00
373,1.4554761207643856e+00
374,1.3990629058641439e+00
375,1.3668724544300357e+00
376,1.2714643449340852e+00
377,1.2483356126810721e+00
378,1.3418572882279032e+00
379,1.4366951604544238e+00
380,1.4013032345757592e+00
381,1.4681719592841882e+00
382,1.3419765339763869e+00
383,1.2516181607253436e+00
384,1.2714873616409352e+00
385,1.3758068166845447e+00
386,1.3496929567106972e+00
387,1.3801532516973156e+00
388,1.3622681919884054e+00
389,1.2824986302787322e+00
390,1.2317298697476147e+00
391,1.2835573934625564e+00
392,1.3232621160455893e+00
393,1.4163469630197065e+00
394,1.3512694583871492e+00
395,1.3634139011364947e+00
396,1.2717367240240076e+00
397,1.3122982158175578e+00
398,1.2770148118079403e+00
399,1.3403821397208839e+00
400,1.3236979075345989e+00
401,1.3560292872621615e+00
402,1.3121191073440128e+00
403,1.3386230094115172e+00
404,1.2882057254691848e+00
405,1.2883122407308814e+00
406,1.3225773878705724e+00
407,1.3420173014372836e+00
408,1.2948904468246443e+00
409,1.3403737068684287e+00
410,1.3436045823919658e+00
411,1.3320089661631305e+00
412,1.2489005403974320e+00
413,1.2533045227174400e+00
414,1.2617869885339332e+00
415,1.2853218073279853e+00
416,1.2924439041474365e+00
417,1.3107300432367031e+00
418,1.2870344839354171e+00
419,1.2361024147736215e+00
420,1.2156071774246235e+00
421,1.2648838765648227e+00
422,1.2611025004891490e+00
423,1.3059728123158034e+00
424,1.3339080903930864e+00
425,1.2795411157550665e+00
426,1.1844167342963077e+00
427,1.2352598831640293e+00
428,1.2984079658169008e+00
429,1.2970939741886107e+00
430,1.3452374591123206e+00
431,1.3472249808072418e+00
432,1.2681131233536957e+00
433,1.2271998790856105e+00
434,1.2626454576210491e+00
435,1.2984321288884009e+00
436,1.2868272928091249e+00
437,1.3185540791207748e+00
438,1.2838940422545753e+00
439,1.2116532398261421e+00
440,1.2164922438476320e+00
441,1.3100648160427606e+00
442,1.2691968418884503e+00
443,1.2600664486015225e+00
444,1.3029348986910867e+00
445,1.3207896172407421e+00
446,1.2543986728834216e+00
447,1.3221291491537133e+00
448,1.2919099882801071e+00
449,1.2990137381313824e+00
450,1.3256804651645204e+00
451,1.3261866718185367e+00
452,1.3020485668625856e+00
453,1.3971731289176892e+00
454,1.3830664136219357e+00
455,1.3248276780999515e+00
456,1.3103496162345829e+00
457,1.3450504217554977e+00
458,1.3157862306343304e+00
459,1.4351982556565825e+00
460,1.3962936657836407e+00
461,1.3918902470915182e+00
462,1.3262527430371449e+00
463,1.3195998472906805e+00
464,1.2439548362972466e+00
465,1.3677407639349868e+00
466,1.4011345302371960e+00
467,1.4194060848879622e+00
468,1.3320742634437526e+00
469,1.2750413880434652e+00
470,1.1721016548262599e+00
471,1.2799820898905576e+00
472,1.3628476527453806e+00
473,1.4479324960478615e+00
474,1.4148984068286607e+00
475,1.3692573760105786e+00
476,1.2041884276768871e+00
477,1.2351562541151417e+00
478,1.3609411767031865e+00
479,1.4691438002353168e+00
480,1.4400496094133000e+00
481,1.4864902145553802e+00
482,1.2933441417547069e+00
483,1.2282273362673144e+00
484,1.2743737166585447e+00
485,1.4358821006445186e+00
486,1.4834692232969253e+00
487,1.5498741123148505e+00
488,1.4306449311065645e+00
489,1.2854127106146107e+00
490,1.2327036116957009e+00
491,1.3287119799191878e+00
492,1.4002827585190563e+00
493,1.4904593928433088e+00
494,1.3914239473899306e+00
495,1.3738327312448888e+00
496,1.1615475550307419e+00
497,1.2122673933280219e+00
498,1.3017851740039013e+00
499,1.4499867175317744e+00
500,1.4025574908268688e+00
